source_index,target_index,source_entity,target_entity,type,count
pad,C1631280,pad,quadrant,located_at,3
C0392756,C4068833,decreased,vascularity,modify,3
pad,C0025066,pad,mediastinum,located_at,3
C0392756,silhouette,decreased,silhouette,modify,3
isslightly,larger,isslightly,larger,modify,3
isslightly,prominent,isslightly,prominent,modify,3
issome,C0004144,issome,atelectasis,modify,3
C0439739,C0012634,reticular,disease,modify,3
isstable,C0733755,isstable,position,located_at,3
issomewhat,indistinct,issomewhat,indistinct,modify,3
C1280500,C0040578,effect,trachea,located_at,3
C1280412,C0017446,thick,area,modify,3
C0018792,cavoatrial,atrium,cavoatrial,located_at,3
C0392756,stranding,decreased,stranding,modify,3
C0178587,aorticarch,density,aorticarch,located_at,3
C1282910,C3470541,superior,pacer,modify,3
C0439641,bibasilar,discoid,bibasilar,located_at,3
C0439617,tubewhich,revision,tubewhich,located_at,3
C0439641,C0029053,discoid,opacity,modify,3
C1279919,C1184743,early,process,modify,3
terminate,C0179740C0205132,terminate,picc line,located_at,3
C1282914,C0019080,surrounding,hemorrhage,modify,3
C1282910,terminate,upper,terminate,modify,3
C1282910,periphery,upper,periphery,modify,3
C1282914,C0221198,circumscribed,lesion,modify,4
irregularly,C0332479,irregularly,shaped,modify,3
C0179740,C0175730,picc,tube,located_at,4
C0179740,C0028661,picc,nurse,modify,3
sided,approach,sided,approach,modify,3
C0178587,C0332554,density,shadows,suggestive_of,3
C0178587,C0336699,density,bullet,suggestive_of,3
C1275957,C0035561,malalignment,ribs,located_at,3
C0439688,segment,atelectatic,segment,located_at,3
C0178587,C0175722,density,clip,suggestive_of,3
C0179740C0205132,C0042449,picc line,vein,located_at,3
C0392756,C0025066,decreased,mediastinal,modify,3
C0392756,apicalpneumothorax,decreased,apicalpneumothorax,modify,3
C0392756,C0439793,decrease,severity,modify,3
C0392756,C0934569,decreased,hemithorax,located_at,3
C0392756,consolidations,decreased,consolidations,modify,3
C0178587,C0449719,density,portion,located_at,3
C0178587,C0549183,density,midline,located_at,3
C1279919,C0018802,early,chf,modify,3
C0179740,C0037004,picc,shoulder,located_at,3
C0178587,rightlung,density,rightlung,located_at,3
isincreased,C0178587,isincreased,density,modify,3
C0018800,C0038293,cardiomegaly,sternal,located_at,3
C0018800,C0031050,cardiomegaly,pericardial,located_at,3
terminates,C0013303,terminates,duodenum,located_at,3
terminate,C0175730,termination,tube,located_at,4
C1282913,lucencies,circular,lucencies,modify,3
C1282914,C0005978,surrounding,wires,modify,3
C0179740,cardiomediastinal,picc,cardiomediastinal,located_at,3
parenchymal,C0038969,parenchymal,sutures,located_at,5
C1301886,C0520453,caliber,cannula,modify,3
C1306645,C0005847,radiograph,vasculature,located_at,3
C1303192,C0205145,vertebroplasty,site,located_at,3
C1303192,C0450219,vertebroplasty,thoracolumbar,located_at,3
C1282910,margins,superior,margins,modify,3
terminates,C0205144,terminates,junction,located_at,3
C1293132,C0816839,anchors,glenoid,located_at,3
C0019270,C0178499,hernia,base,located_at,3
jugular,C0024109,jugular,pulmonary,located_at,3
overlying,C0038969,overlying,sutures,modify,3
overlying,C0042449,overlying,vein,located_at,3
suspected,superimposed,suspected,superimposed,modify,3
surgicalclips,C0929176,surgicalclips,hilum,located_at,3
C1304890,contrast,enteral,contrast,modify,3
side,C0011127,side,decubitus,located_at,3
overlying,C0810633,overlying,pacemaker,modify,3
overlying,C0443246,overlying,left,located_at,3
C0439650,suprahilar,fullness,suprahilar,located_at,3
C0439650,C0521530,fullness,consolidation,suggestive_of,3
C0178587,C0040578,density,tracheal,located_at,3
C0178587,C0038293,density,sternum,located_at,3
C0178587,C0038351,densities,stomach,located_at,3
inthe,C0205108,inthe,distal,modify,3
inthe,C1282910,inthe,superior,modify,3
C1306645,C0037949,radiographs,spine,located_at,3
parenchymal,C0036525,parenchymal,metastatic,modify,3
parenchymal,C0016059,parenchymal,fibrosis,located_at,3
paramediastinal,C0876954,paramediastinal,contour,located_at,3
C0019552,C0175649,hip,prosthesis,located_at,4
C1265611,C0003962,amount,ascites,modify,3
C1260969,C0521164,ring,annular,located_at,5
C1260969,C0175649,ring,prosthesis,located_at,3
suspected,C0577559,suspected,mass,modify,3
C0392747,cardia,change,cardia,located_at,3
C0178587,C0262950,densities,bones,located_at,4
superiorly,placed,superiorly,placed,modify,3
supportingdevices,C0392747,supportingdevices,changes,modify,3
supportingdevices,C0442739,supportingdevices,unchanged,modify,3
C1184743,C0178499,process,base,located_at,5
C1265611,C0449584,amount,opacification,modify,3
C0019664,C0024117,history,copd,modify,3
C0392747,structuresreveal,changes,structuresreveal,located_at,3
C0392756,C0037775,decreased,distribution,modify,3
C0392752,C0577559,localized,mass,modify,3
C1282914,C0521530,surrounding,consolidation,modify,3
C1282914,C0577559,circumscribed,mass,modify,3
irregularities,myeloma,irregularities,myeloma,suggestive_of,3
overlying,C0035561,overlying,rib,located_at,3
terminates,C0549183,terminates,midline,located_at,3
terminates,C0595836,terminates,intrathoracic,located_at,3
intervalincrease,aeration,intervalincrease,aeration,modify,3
C0392747,C1184146,changes,basilar,located_at,3
intervalplacement,C0549183,intervalplacement,median,modify,3
intervalplacement,C0180499,intervalplacement,drain,modify,3
C1413046,ij,cava,ij,located_at,3
C0439739,C0521530,reticular,consolidation,modify,3
C0439793,C0029053,severity,opacities,modify,3
C1184743,C1883067,process,space,located_at,3
C1185740,jugular,tract,jugular,located_at,3
C0020164,C1139930,humeral,plate,located_at,4
C0178587,C0018792,density,atrial,located_at,3
C0179740,brachiocephalic,picc,brachiocephalic,located_at,3
intervalrepositioning,C0599554,intervalrepositioning,endotracheal,modify,3
intervalresolution,C0029053,intervalresolution,opacity,modify,3
terminates,svc,terminates,svc,located_at,3
C1306645,C0025066,radiograph,mediastinum,located_at,3
C0392747,areagain,changes,areagain,located_at,3
C1313915,C0005978,redundant,wire,modify,3
intralobular,C0442004,intralobular,septal,modify,3
paramediastinal,C0934569,paramediastinal,hemithorax,located_at,3
C0179740C0205132,caval,picc line,caval,located_at,3
short,C0678594,short,structure,modify,3
C0180499,C0030705,drain,patient,located_at,3
C0179740C0205132,azygos,picc line,azygos,located_at,3
C0180499,C0024090,drain,lumbar,located_at,5
C0180499,C0205143,drain,angle,located_at,3
C0180499,C0205145,drain,site,located_at,3
intervally,C0332271,intervally,worse,modify,3
C1457869,C0011980,defect,diaphragmatic,located_at,3
terminating,C0227952,terminating,sheath,modify,3
C0018670,C0038969,head,suture,located_at,3
C0392747,C0205150,change,hilar,located_at,3
parenchymal,processes,parenchymal,processes,located_at,3
C0392747,C0521530,changes,consolidation,suggestive_of,3
C0392747,C0449584,changes,opacification,modify,6
C0180307,C0332461,defibrillator,patch,located_at,3
knob,C0002940,knob,aneurysm,suggestive_of,3
superiorly,C0929176,superiorly,hilum,modify,3
C0020164,C0242696,humeral,diaphysis,located_at,3
C0020164,C0262950,humerus,bone,located_at,3
C0439775,hila,elevation,hila,located_at,3
C0439794,areas,dense,areas,modify,3
C0392747,C0349707,changes,aspiration,suggestive_of,4
C0392747,C1704972,changed,orientation,modify,3
C0392747,C1184743,changes,process,located_at,3
terminating,C0005978,terminating,wires,modify,3
intervalplacement,C0206427,intervalplacement,rods,located_at,3
C1184743,C0443157,process,bony,located_at,3
superiorly,directed,superiorly,directed,modify,3
C0178587,C0011813,density,dextrocardia,suggestive_of,3
C1517945,C0032285,loss,pneumonia,suggestive_of,3
C1514893,C0040405,resolution,ct,modify,3
intervaldecrease,C1265611,intervaldecrease,amount,modify,3
C1517945,C0007301,loss,cartilage,located_at,3
C1517945,C0008767,loss,scarring,suggestive_of,3
C1514893,blunting,resolved,blunting,modify,3
C1514893,C0700148,resolution,congestion,suggestive_of,3
C0392747,C0025080,change,devices,modify,5
C1179864,parenchymal,superolateral,parenchymal,modify,3
C0439801,C0392756,limited,decrease,modify,3
C0439794,retrocardiacconsolidation,dense,retrocardiacconsolidation,modify,3
C1184146,confluence,basilar,confluence,modify,3
C0439801,C0005847,limits,vasculature,located_at,3
C0439801,C0015264,limited,effort,modify,3
C0439801,C0025062,limited,pneumomediastinum,modify,3
interval,lowerlung,interval,lowerlung,modify,3
C1514893,C0012359,resolved,distention,modify,3
intervalimproved,C0449468,intervalimproved,volumes,modify,3
C1514893,C0018800,resolved,cardiomegaly,modify,3
C0180499,C0230185,drain,epigastrium,located_at,3
sharp,vasculatureis,sharp,vasculatureis,modify,3
shift,C0233494,shift,tension,suggestive_of,3
overlying,C0006141,overlying,breast,modify,3
overlying,C0013812,overlying,electrodes,modify,3
C0018188,lowerlung,granuloma,lowerlung,located_at,3
C1516048,C0024109,assessment,lung,located_at,3
C0180499,side,drains,side,located_at,3
C0018670,C0733755,head,position,located_at,4
C0018670,C0817096,head,chest,located_at,3
C0018188,C0933845,granulomas,parenchyma,located_at,3
C0392747,C0085590,changed,catheter,modify,4
C0180499,upperquadrant,drain,upperquadrant,located_at,4
C0180860,C0000726,filter,abdomen,located_at,3
sharp,pulmonaryvessels,sharp,pulmonaryvessels,modify,3
intervalappearance,C0013687,intervalappearance,effusion,modify,3
C0018188,C0817096,granuloma,thorax,located_at,3
C1516048,C0013604,assessment,edema,suggestive_of,3
C0392747,C0016658,change,fracture,modify,3
superimposed,pulmonaryedema,superimposed,pulmonaryedema,modify,3
C0020303,C0017446,hydropneumothorax,region,located_at,3
superiorly,C0012727,superiorly,displaced,modify,3
sideport,C0175730ng,sideport,ng tube,located_at,3
C0175895,thoracicaorta,calcified,thoracicaorta,modify,3
C0020303,lungbase,hydropneumothorax,lungbase,located_at,3
superiorly,C0025066,superiorly,mediastinum,modify,3
partially,defined,partially,defined,modify,3
C0439801,C0030705,limited,patient,modify,3
sidehole,C0744316,sidehole,gastroesophageal,located_at,3
C0178587,C0008350,density,gallstone,suggestive_of,3
C0020303,C0543467,hydropneumothorax,surgery,suggestive_of,3
known,C0009938,known,contusions,modify,3
C0178499,costophrenicsulcus,base,costophrenicsulcus,located_at,3
superiorly,C0032326,superiorly,pneumothorax,modify,5
superiorly,C0140145,superiorly,apex,modify,3
shift,C0521530,shift,consolidation,suggestive_of,3
C0180499,C0017446,drain,region,located_at,3
C0018188,C0003483,granuloma,aortic,located_at,3
C0018188,C0017446,granuloma,region,located_at,3
C0018188,C0018787,granuloma,heart,located_at,3
C1514893,C1306645,resolution,radiograph,modify,3
C0392747,C0002940,changes,aneurysm,suggestive_of,3
C0178587,C0005758,density,bleb,suggestive_of,3
terminating,ett,terminating,ett,modify,3
C0017480,C0179740,germany,picc,located_at,4
C0017446,rightatrium,region,rightatrium,located_at,3
interval,prosthetic,interval,prosthetic,modify,3
C1514893,shift,resolved,shift,modify,3
terminating,C0589488,terminating,subclavian,modify,3
terminating,C0733755,terminating,position,modify,6
terminating,brachiocephalic,terminating,brachiocephalic,located_at,3
C0972395,chestwall,aicd,chestwall,located_at,3
C0972395,lvad,aicd,lvad,located_at,3
C1517945,righthemithorax,loss,righthemithorax,located_at,3
interval,C2607943,interval,findings,modify,3
C0017446,lefthilum,region,lefthilum,located_at,3
C1515009,C0024202,subcarinal,lymph,modify,3
C1517945,C0025066,loss,mediastinal,located_at,3
interval,silhouetting,interval,silhouetting,modify,3
C0439801,C0876954,limits,contour,modify,3
C0972395,ra,aicd,ra,located_at,3
C0972395,C1705504,aicd,tip,located_at,5
C0020492,C0205054,hyperostosis,hepatic,located_at,3
overall,C0205360,overall,stable,modify,3
C1179864,C0205284,superolateral,margin,modify,3
C0972395,rv,aicd,rv,located_at,3
partially,C0220825,partially,evaluated,modify,3
C0392148,C0449468,presence,volumes,modify,3
partially,C0521097,partially,cleared,modify,3
partially,C0332260,partially,compressed,modify,3
C0175895,aorticarch,calcified,aorticarch,modify,3
C0439801,C0205132,limited,linear,modify,3
C0178499,C0035561,base,rib,located_at,3
C0439801,C1704972,limited,orientation,modify,3
C0020303,C0032225,hydropneumothorax,pleural,located_at,3
C0441107,C0817096,cuff,chest,located_at,3
C0439833,C0184511,gradual,improvement,modify,3
C0439833,C0205217,gradual,increase,modify,3
C0439833,C0242656,gradual,progression,modify,3
C0439806,bonyabnormality,gross,bonyabnormality,modify,3
other,C0175730,other,tubes,modify,3
C0972395,C0332255,aicd,fragments,located_at,3
C0020452,pulmonaryvessels,engorgement,pulmonaryvessels,located_at,3
C0020449,C0796494,hyperinflation,lobe,located_at,3
C0175895,C0175649,calcified,prostheses,modify,3
C0175895,C0205150,calcified,hilar,modify,3
C0439806,C0012634,gross,disease,modify,3
C0175895,masses,calcified,masses,modify,3
C0439801,C1609982,limited,residual,modify,3
outflow,C0003842,outflow,artery,located_at,3
overall,C0018787,overall,cardiac,modify,3
oval,C0332479,oval,shaped,modify,3
known,underlying,known,underlying,modify,3
C0439806,C0497156,gross,adenopathy,modify,3
C0439806,C1457869,gross,defect,modify,3
C0020449,C0934569,hyperinflation,hemithorax,located_at,3
C0020498,thoracicspine,dish,thoracicspine,located_at,3
C1516048,C0933845,assessment,parenchyma,located_at,3
overall,C0449830,overall,configuration,modify,3
C0178499,C0225740,base,lingula,located_at,3
overall,C1517945,overall,loss,modify,3
overlies,C0030705,overlies,patient,modify,3
over,C0274281,over,exposure,modify,3
C1522577,C0019080,follow-up,hematoma,suggestive_of,3
C1522577,C0184511,followup,improvement,modify,3
C0017446,azygos,region,azygos,located_at,5
C0344329,C0018670,collapse,heads,located_at,3
C0339897,overlying,tips,overlying,located_at,3
C1517945,side,loss,side,located_at,3
C0348016,C0205132,intravenous,line,located_at,3
C0348016,C0450429,intravenous,location,located_at,3
C0347997,C3263722,artifact,trauma,located_at,3
C0347997,C1696103,artifact,image,located_at,3
C0347997,C0459471,artifact,interpretation,suggestive_of,3
several,lucencies,several,lucencies,modify,3
C0184165,C0027530,tubing,neck,located_at,3
C0184165,C0030705,tubing,patient,located_at,3
patchyconsolidation,C0024109,patchyconsolidation,lung,located_at,3
patchyconsolidation,C0178499,patchyconsolidation,base,located_at,3
patchyconsolidation,C0796494,patchyconsolidation,lobes,located_at,3
partially,secured,partially,secured,modify,3
partially,silhouette,partially,silhouette,modify,3
C0181904,C0005978,monitor,wires,modify,3
C0181687,C0175730,loops,tube,located_at,6
passed,C0085590,passed,catheter,modify,3
C0972395,C0015385,aicd,extremity,located_at,3
kyphotic,C0016538,kyphotic,projection,modify,3
C0439858,C0043299,conventional,x-ray,modify,3
C0439849,C0392747,related,changes,modify,3
kyphotic,C0733755,kyphotic,positioning,modify,3
C1522577,C0000726,follow-up,abdomen,modify,3
C1522010,C0004144,lobar,atelectasis,located_at,3
terminating,venouscatheter,terminating,venouscatheter,modify,3
C1522485,C0817096,labeled,chest,modify,3
patchyopacities,focalinfiltrate,patchyopacity,focalinfiltrate,suggestive_of,3
C0017446,costophrenic,region,costophrenic,located_at,5
patchyopacities,C0024109,patchyopacities,lung,located_at,3
C0017110,subdiaphragmatic,gas,subdiaphragmatic,located_at,3
large,C0017110,large,gas,modify,3
large,C0018021,large,goiter,modify,3
C0020564,C0017446,enlargement,area,located_at,3
large,C0005847,large,vasculature,modify,3
C0344329,C0332469,collapse,fissure,suggestive_of,3
several,C0301559,several,screws,modify,3
interval,C0694637,interval,nasogastric,modify,3
C0017446,C1440080,area,alveolar,located_at,3
C0347997,C0018787,object,heart,located_at,3
oval,C0028259,oval,nodule,modify,3
significant,C0011570,significant,depression,modify,3
osteopenic,C0037949,osteopenic,spine,located_at,3
sideport,gastroesophagealjunction,sideport,gastroesophagealjunction,located_at,3
superimposed,background,superimposed,background,modify,3
C0020564,C0040132,enlargement,thyroid,located_at,3
C0020564,C0042449,enlargement,vein,located_at,3
C1521721,C0087111,support,treatment,modify,3
C0017446,parenchymal,area,parenchymal,located_at,3
C1518633,C0221198,osteolytic,lesions,located_at,3
C0345392,C0817096,kyphoscoliosis,thoracic,located_at,3
passing,C0542339,passing,below,modify,3
C1517945,C0929176,loss,hilum,located_at,3
C1517945,C0175631,loss,visualization,modify,3
C0347997,C0017446,object,area,located_at,3
perihilar,areas,perihilar,areas,located_at,3
perihilar,C2328510,perihilar,interstitium,located_at,3
C0339897,C0042449,tips,vein,located_at,3
C0344329,C0441994,collapse,lower,located_at,3
peribronchial,C0677535,peribronchial,wall,located_at,3
C0184252,C0003842,valves,arteries,located_at,3
C0184165,C1631280,tubing,quadrant,located_at,3
C0934502,C0332620,layering,redistribution,modify,3
C0020564,cardia,enlargement,cardia,located_at,3
C0933845,C0934569,parenchyma,hemithorax,located_at,3
C0934502,C3272911,layering,radiodensities,modify,3
C0439806,interval,gross,interval,modify,3
C0439806,pleuraleffusion,gross,pleuraleffusion,modify,3
C1523994,C1547011,hardware,aspect,located_at,3
C0334129,C0302891,fibrotic,native,modify,3
significant,C0029453,significant,osteopenia,modify,3
large,C0205132,large,line,modify,3
C0175895,C0010709,calcified,cysts,modify,3
C0441587,C0020725,insertion,icd,modify,5
superimposed,C0332554,superimposed,shadows,modify,3
C0017446,C0000726,region,abdomen,located_at,4
C0017446,C0037993,region,spleen,located_at,3
C1522577,C0220825,followup,evaluation,modify,3
C0017446,C0934569,region,hemithorax,located_at,5
C0017446,C0443327,region,tricuspid,located_at,3
themediastinum,C0220825,themediastinum,evaluate,modify,6
thelungs,C0178499,thelung,bases,located_at,5
C0184511,C0025062,improved,pneumomediastinum,modify,3
C0017110,C0023884,gas,liver,located_at,3
C0333307,C0037004,erosions,shoulder,located_at,3
C1542147,C0013990,predominant,emphysema,modify,3
C1523994,C0934569,hardware,hemithorax,located_at,3
C1523994,C1523994,hardware,hardware,suggestive_of,3
peripherally,C0032326,peripherally,pneumothorax,modify,3
peripherally,C0035561,peripherally,rib,modify,3
C0441587,C0301559,placement,screws,located_at,3
C0184511,C0009938,improve,contusions,modify,3
C0184511,C0017446,improvement,region,located_at,3
C1522614,C0000726,g-tube,abdomen,located_at,3
theright,C0008913,theright,clavicle,modify,3
C0337141,C0487742,shaft,width,located_at,5
C0017446,C0013303,region,duodenal,located_at,3
large,C0181687,large,loops,modify,3
superimposed,C0449774,superimposed,pattern,modify,3
superimposed,C2607943,superimposed,findings,modify,3
C0876954,C0205284,contour,border,located_at,4
C0175751,C0817096,collar,thorax,located_at,3
C0175730ng,subdiaphragmatic,ng tube,subdiaphragmatic,located_at,3
C0175751,C0037949,collar,spine,located_at,3
C0441587,C0456642,placement,introducer,located_at,3
C0339897,C1282910,tips,superior,located_at,3
peribronchial,C0596790,peribronchial,interstitial,located_at,3
several,C0444764,several,coils,modify,3
C0337095,C0018792,entrance,atrium,located_at,4
several,C0221198,several,lesions,modify,3
sides,C0022417,sides,joint,located_at,3
sides,C0027530,sides,neck,located_at,3
C0441587,C0038293,placement,sternal,located_at,3
C0333179,C0332255,angulation,fragment,located_at,3
C0333179,C0521329,angulation,spinal,located_at,3
peripherally,C0522501,peripherally,markings,modify,3
C0332766,C0018670,dislocated,head,located_at,3
C0332766,C0037004,dislocated,shoulder,located_at,3
persistentbibasilar,C0521530,persistentbibasilar,consolidation,modify,3
persist,pleuraleffusion,persistence,pleuraleffusion,modify,3
C0017110,C0181687,gas,loops,located_at,3
C1542147,pa,main,pa,modify,3
C1542147,perihilar,predominant,perihilar,modify,3
C1523994,C0180499,hardware,drain,located_at,4
C1542147,airspaceopacity,predominant,airspaceopacities,modify,3
theright,C0032225,theright,pleural,located_at,3
persist,C0004144,persist,atelectasis,modify,3
C0333348,C0012634,inflammatory,disease,modify,3
significant,C0032320,significant,pneumoperitoneum,modify,3
oriented,C0301559,oriented,screw,modify,3
C0441587,C1708264,placement,guidewire,located_at,4
C1547011,C0332469,aspect,fissure,located_at,3
several,C0006282,several,bronchograms,modify,3
C1523994,C0018670,hardware,head,located_at,3
C0184511,C0008767,improved,scarring,modify,3
C0184252,C0543467,valve,surgery,located_at,3
several,C0031809,several,examinations,modify,3
C0175895,C0008767,calcific,scarring,modify,3
C0175730ng,C0025066,ng tube,mediastinum,located_at,3
C0441587,C1417945,placement,ogt,located_at,3
interval,C0024109,interval,lungs,modify,3
C1547011,C0016536,aspect,forearm,located_at,3
C0332853,C0014876,anastomosis,esophagus,located_at,3
C0332853,point,anastomosis,point,located_at,3
persistently,lowlung,persistently,lowlung,modify,3
persistentopacification,C0013687,persistentopacification,effusion,modify,3
C0332554,C0796494,shadow,lobe,located_at,3
C0332554,C0085590,shadow,catheter,modify,3
C0441587,ett,placement,ett,located_at,5
C0441587,feedingtube,placement,feedingtube,located_at,3
superimposed,C0205132,superimposed,linear,modify,3
C0184511,C0796494,improvement,lobe,located_at,3
C0184511,C0456389,improvement,size,modify,3
interval,C0017110,interval,gaseous,modify,3
C1547011,cardiomediastinal,aspect,cardiomediastinal,located_at,3
interval,C0040590,interval,tracheostomy,modify,3
C0020725,C0337088,icd,battery,located_at,3
C0876954,C0018827,contour,ventricular,located_at,5
C0876954,C0002940,contour,aneurysm,modify,3
large,C1457869,large,defect,modify,3
large,areas,large,areas,modify,3
C0175730et,C0234621,et tube,visualized,modify,3
opacitywith,retrocardiac,opacitywith,retrocardiac,located_at,3
C0441587,jugularcatheter,placement,jugularcatheter,located_at,3
C0017110,C0020303,gas,hydropneumothorax,suggestive_of,3
C0017110,C0031153,gas,peritoneal,located_at,4
C1542147,C0449774,predominant,pattern,modify,3
interval,C0086296,interval,film,modify,3
C0184511,C0439801,improved,limits,modify,3
C0333177,C0140145,kinked,apex,modify,3
C0184511,C0332464,improved,widening,modify,3
C0876954,C0140145,contour,apex,located_at,3
third,C0005978,third,wire,modify,3
C1547225,C0332482,mild,distortion,modify,3
C0332523,C0677535,retraction,wall,located_at,3
C0332523,C0733755,retracted,positioning,modify,3
C0184511,C0032285,improvement,pneumonia,suggestive_of,3
C0332554,C0036277,shadow,scapula,located_at,3
C0184511,C0947630,improved,study,modify,3
C0020564,C0577559,enlargement,mass,modify,3
C0817096,C1123023,chest,skin,located_at,5
theright,sided,theright,sided,modify,3
C0332768,C0012634,subluxation,disease,suggestive_of,3
C0332768,C0019552,subluxation,hip,located_at,3
osteoblastic,C0036525,osteoblastic,metastatic,located_at,3
C0817096,aortais,thoracic,aortais,located_at,3
large,knob,large,knob,modify,3
C0020564,C0497156,enlargement,lymphadenopathy,suggestive_of,3
C0332554,C0140145,shadow,apex,located_at,3
C0016658,sternalwires,fractured,sternalwires,modify,3
C1547011,C0040578,aspect,trachea,located_at,3
persist,prominence,persistence,prominence,modify,3
C0016658,theright,fracture,theright,located_at,3
C0016658,C0582103,fracture,examination,located_at,3
C0016658,third,fractures,third,located_at,3
interstitialopacities,C0013604,interstitialopacities,edema,suggestive_of,3
C0184898,C0000726,incision,abdominal,located_at,3
C0184511,extent,improved,extent,modify,5
C0332523,C0040578,retraction,trachea,located_at,3
C0184511,overload,improved,overload,modify,3
C0184511,pleuraleffusion,improved,pleuraleffusions,modify,3
serial,C0582103,serial,exam,modify,3
serial,C0016658,serial,fractures,modify,3
C0441889,C0003483,level,aortic,located_at,3
persistentright,C0029053,persistentright,opacity,modify,3
C0332523,C0175730ng,retracted,ng tube,modify,4
persistently,C0332464,persistently,widened,modify,3
C0332554,C0003842,shadow,artery,located_at,3
persistentopacification,C0934569,persistentopacification,hemithorax,located_at,3
C0332523,tubewhich,retracted,tubewhich,modify,3
semiupright,C4299032,semiupright,portable,modify,3
semiupright,radiographdemonstrates,semiupright,radiographdemonstrates,modify,3
larger,C0018787,larger,heart,located_at,3
larger,C0020303,larger,hydropneumothorax,modify,3
C0021485,C0018188,injection,granulomas,located_at,3
C0441889,C0021853,levels,bowel,located_at,3
opacitywhich,C0596790,opacitieswhich,interstitial,located_at,3
opacitywhich,C1184743,opacitieswhich,process,suggestive_of,3
opacitywhich,airspace,opacitieswhich,airspace,located_at,3
C0332514,C0205217,asymmetric,increase,modify,3
C1547225,C0175895,mild,calcified,modify,3
C0016658,lowerthoracic,fractures,lowerthoracic,located_at,3
C0016658,C0449911,fracture,view,located_at,3
third,C0014876,third,esophagus,located_at,3
C0175730,mediastinaldrain,tube,mediastinaldrain,located_at,3
C0175730et,C0018670,et tube,heads,located_at,3
C0175730,themediastinum,tube,themediastinum,located_at,3
significant,C0443246,significantly,left,modify,3
C1547225,C0439688,mild,atelectatic,modify,3
C0185027,C0332255,overlap,fragments,located_at,3
pigtail,C0000726,pigtail,abdomen,located_at,3
phrenic,C0205143,phrenic,angle,modify,3
C1547225,C0596764,mild,impression,modify,3
C0184967,C0032699,packing,sponge,modify,3
C0016658,C0024109,fractures,lung,located_at,3
C1547225,C0333179,mild,angulation,modify,3
C1547225,C0333159,mild,emphysematous,modify,3
C0016658,C0205145,fracture,site,located_at,3
interface,C0024109,interface,lung,located_at,3
interlobular,C0332469,interlobular,fissures,located_at,3
C1547225,C0036679,mild,diastasis,modify,3
interposed,C0021853,interposed,bowel,modify,3
interposition,C0337189,interposition,cage,modify,3
interposition,C1269845,interposition,hemidiaphragm,located_at,3
opacityseen,C0796494,opacityseen,lobe,located_at,3
C0332523,C0024109,retracted,lung,modify,3
C0332523,C0025066,retraction,mediastinum,located_at,3
C0184511,airspaceconsolidation,improved,airspaceconsolidation,modify,3
C0332516,C0037775,symmetric,distribution,modify,3
segment,mainpulmonary,segment,mainpulmonary,located_at,3
C0441587,piccline,placement,piccline,modify,3
significant,C1609982,significant,residual,modify,3
significant,C2607943,significant,findings,modify,3
larger,one,larger,one,modify,3
C0817096,C0332466,thoracic,fusion,located_at,6
C0817096,C0332459,thoracic,compression,located_at,4
C0810633,silhouette,pacemaker,silhouette,located_at,3
third,C3470541,third,pacer,modify,3
third,svc,third,svc,located_at,3
C0016538,C0085590,projected,catheter,modify,3
C0016538,C1269845,projection,hemidiaphragm,located_at,3
third,C0934569,third,hemithorax,located_at,3
C0441988,C0577559,contralateral,mass,modify,3
C0441889,C1306645,level,radiograph,located_at,3
C0021925,C0019664,intubation,history,located_at,3
C0441889,C1631280,level,quadrant,located_at,3
C0441994,C0085590,lower,catheters,modify,3
C0332501,silhouette,globular,silhouette,modify,3
C0332501,C0018787,globular,heart,modify,3
C0332516,C0178587,symmetric,densities,modify,3
persists,C0700124,persists,dilatation,modify,3
C0016538,C0796494,projection,lobe,located_at,3
suggestive,C1258215,suggestive,ileus,suggestive_of,3
suggestive,C0020538,suggestive,hypertension,suggestive_of,3
larger,C0449432,larger,component,modify,3
larger,C0449468,larger,volumes,modify,3
C1547225,C0347997,mild,artifact,modify,3
C1547225,C0851256,mild,kinking,modify,3
persists,satisfactory,persists,satisfactory,modify,3
C0016658,C0024090,fracture,lumbar,located_at,3
third,C0024109,third,lung,modify,3
significant,C0449432,significant,component,modify,3
C0021853,C0934569,bowel,hemithorax,located_at,3
C1547225,fluffy,mild,fluffy,modify,3
C1547225,bronchovascular,mild,bronchovascular,modify,3
insize,C0018787,insize,heart,located_at,3
placed,C0179740C0205132,placed,picc line,modify,5
placed,C0184252,placed,valve,modify,3
C0190112,C0003483,valvuloplasty,aortic,modify,6
C1547225,tortuous,mild,tortuous,modify,3
place,C0184252,place,valve,located_at,3
semisupine,C0086296,semisupine,film,modify,3
semierect,C0449851,semierect,technique,modify,3
C0185792,C0003483,sternotomy,aortic,located_at,3
C0332514,lucency,asymmetric,lucency,modify,3
C1547225,opacitylikely,mild,opacitylikely,modify,3
C1547225,linearopacities,mild,linearopacities,modify,3
C1547225,edemapersists,mild,edemapersists,modify,3
C1547225,effacement,mild,effacement,modify,3
C0441988,C2230181,contralateral,brachycephalic,modify,3
C0441889,midlung,levels,midlung,located_at,3
opacitylikely,C0796494,opacitylikely,lobe,located_at,3
C0185792,C0678594,sternotomy,structures,located_at,3
C0185792,C0332835,sternotomy,transplantation,suggestive_of,3
placed,feedingtube,placed,feedingtube,modify,3
placed,nasogastrictube,placed,nasogastrictube,modify,3
C0332482,silhouette,distortion,silhouette,suggestive_of,3
